NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE HORECA;TYPE;TELEPHONE;TYPE_restaurant
BENVENUTI AL SUD;ROUTE DE PHILIPPEVILLE;39;6010;Couillet;Restaurant;Autre;0479/238297;Autre
LUNCH GARDEN;ROUTE DE PHILIPPEVILLE;303;6010;Couillet;Restaurant;Autre;071/518407;Autre
Sotto Il Ponte;Route de Philippeville;342;6010;Couillet;Restaurant;Autre;071/473757;Autre
Athenes Plaza;Avenue de Philippeville;121;6001;Marcinelle;Restaurant;Grec;071/366124;Grec
Le Goût du Liban;Avenue de Philippeville;145;6001;Marcinelle;Restaurant;Libanais;0492/ 50 45 05;Libanais
Le Postillon;Avenue Mascaux;41;6001;Marcinelle;Restaurant;Autre;071/474766;Autre
Wang Sheng;Avenue Mascaux;95;6001;Marcinelle;Restaurant;Chinois;0479/982219;Chinois
La Rose des Sables;Avenue Mascaux;162;6001;Marcinelle;Restaurant;Autre;071/ 36 90 05;Autre
Le Romantic;Avenue Meurée;2;6001;Marcinelle;Restaurant;Autre;071/ 43 85 25;Autre
Mine de Rien;Rue du Cazier;11;6001;Marcinelle;Restaurant;Autre;0486/712921;Autre
PIZZERIA SOLENTO;Avenue du Centenaire;58 B;6061;Montignies-sur-Sambre;Restaurant;Autre;071/30.18.74;Autre
LINDOS CHEZ STASI;Chaussée de Chatelineau;204;6061;Montignies-sur-Sambre;Restaurant;Grec;071/328903;Grec
Les Filles de l'Atelier Gourmand;Rue Brigade Piron;339;6061;Montignies-sur-Sambre;Restaurant;Autre;071/122979;Autre
Le Palais du Dragon;Chaussée de Bruxelles;417 A;6040;Jumet;Restaurant;Chinois;071/37 19 58;Chinois
Le Miam;Rue Bayemont;32;6040;Jumet;Restaurant;Autre;071/350307;Autre
Lunch garden;Rue Hubert Bastin;7;6040;Jumet;Restaurant;Autre;071/ 35 01 90;Autre
L'Impérial;Place du Manège;20;6000;Charleroi;Restaurant;Autre;071/31.37.48;Autre
Saveurs Ebènes;Rue de France;23;6000;Charleroi;Restaurant;Autre;;Autre
Le Carthage;Avenue De L'Europe;4;6000;Charleroi;Restaurant;Autre;071/32.46.11;Autre
Manola's;Rue Du Pont Neuf;39;6000;Charleroi;Restaurant;Grec;071/95.60.00;Grec
Dolce Pizza;Rue Du Pont Neuf;64;6000;Charleroi;Restaurant;Pizzeria;071/50.05.55;Pizzeria
La Bella Pizza;Rue Willy Ernst;43;6000;Charleroi;Restaurant;Pizzeria;071/58.78.37;Pizzeria
Cumu'Fa;Rue Charles Dupret;9;6000;Charleroi;Restaurant;Pizzeria;;Pizzeria
Blablah Wine;Rue De Marcinelle;6;6000;Charleroi;Restaurant;Autre;;Autre
Meat Ball's Bar;Rue De Marcinelle;8;6000;Charleroi;Restaurant;Autre;;Autre
Restaurant Creta;Boulevard Tirou;22;6000;Charleroi;Restaurant;Grec;071/33.10.33;Grec
Thaï Café;Boulevard Tirou;79;6000;Charleroi;Restaurant;Asiatique;;Asiatique
Kuçuk Ev;Place De La Digue;32-33;6000;Charleroi;Restaurant;Autre;071/9550.85;Autre
Restaurant La Digue;Rue Du Grand Central;37;6000;Charleroi;Restaurant;Autre;071/32.50.97;Autre
Le Léoni's;Rue De Dampremy;22;6000;Charleroi;Restaurant;Autre;071/32.95.32;Autre
L'Entre-Côtes;Chaussée de Châtelet;423;6042;Lodelinsart;Restaurant;Autre;0478/62 74 40;Autre
Pizza Pazza;Rue de Beaumont;208;6030;Marchienne-au-Pont;Restaurant;Autre;071 47 01 03;Autre
Les Délices de Sicile;Rue de Beaumont;42;6030;Marchienne-au-Pont;Restaurant;Autre;071 36 85 73;Autre
Pizza Nonno Antonio;Chaussée de Gilly;28/B;6043;Ransart;Restaurant;Pizzeria;071 12 88 25;Pizzeria
L'Orchidée;Rue des Raspes;25;6043;Ransart;Restaurant;Français;071 37 00 96;Français
Da Mimmo e Giovanna;Rue René Delhaize;91;6043;Ransart;Restaurant;Italien;071 19 15 65;Italien
HIPPOCRATE;Rue de Mons;43;6020;Dampremy;Restaurant;Autre;071 31 08 39;Autre
BLEU DU SUD;Rue De Landelies;50;6031;Monceau-sur-Sambre;Restaurant;Autre;071 50 42 31;Autre
TRATTORIA LEANDRO;Rue Jules Destrée;34;6031;Monceau-sur-Sambre;Restaurant;Italien;0473 33 29 12;Italien
LE KAMIROS;Rue de l'Industrie;84;6032;Mont-sur-Marchienne;Restaurant;Grec;071 47 20 71;Grec
Emocion;Avenue Chêne St Jean;13;6041;Gosselies;Restaurant;Autre;071 34 31 60;Autre
Hoa Binh;Rue Modeste Cornil;23;6041;Gosselies;Restaurant;Vietnamien;(+32) 71 34 49 04;Vietnamien
Les 1001 Nuits;Faubourg de Bruxelles;260;6041;Gosselies;Restaurant;Autre;071 37 02 48;Autre
Mac Do;Rue Tahon;16;6041;Gosselies;Restaurant;Fast-food;071/355376;Fast-food
Pizza;Rue Modeste Cornil;48;6041;Gosselies;Restaurant;Pizzeria;;Pizzeria
Van der Valk Charleroi Airport;Chaussée de Courcelles;115;6041;Gosselies;Hôtel;;071/25 00 50;
Pizza Da Franco;ROUTE DE CHATELET;242;6010;Couillet;Restaurant;Pizzeria;;Pizzeria
Le Prince d'Arabie;Route de Philippeville;64;6010;Couillet;Restaurant;Autre;071/473894;Autre
Cooking by Selatin;Avenue Marius Meurée;57;6001;Marcinelle;Restaurant;Autre;0486/488731;Autre
Alessio;Avenue Mascaux;117;6001;Marcinelle;Restaurant;Pizzeria;à louer (071/465426);Pizzeria
La Cantina;Avenue Mascaux;192;6001;Marcinelle;Restaurant;Autre;0497/03 99 71;Autre
Barrio pizza;Avenue Mascaux;452;6001;Marcinelle;Restaurant;Pizzeria;0486/88 28 30;Pizzeria
La Cuisine de Franco;Avenue Paul Pastur;137;6001;Marcinelle;Restaurant;Autre;071/47 29 19;Autre
Il Festino;Avenue Paul Pastur;108;6001;Marcinelle;Restaurant;Autre;071/47 44 74;Autre
Le Beau Site;Rue de Nalinnes;545;6001;Marcinelle;Restaurant;Autre;071/430031;Autre
