NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE;TYPE;TELEPHONE
Le Cœur D'Améthyste;Rue De Dampremy;17;6000.0;Charleroi;Maison & Décoration;;071 30 34 00
Marceau;Rue De Dampremy;20;6000.0;Charleroi;Mode;;071/32.59.35
Mephisto;Rue De Dampremy;30;6000.0;Charleroi;Mode;;071/36.02.61
Morgan;Rue De Dampremy;54;6000.0;Charleroi;Mode;;071/30.59.34
Kadi Ongles;Rue De Dampremy;67;6000.0;Charleroi;Bien-être;;0496/.20.44.84
Chrysalide;Rue De Dampremy;67-2;6000.0;Charleroi;Maison & Décoration;;071/33.38.39
Amplifon;Rue De Dampremy;71;6000.0;Charleroi;Bien-être;Appareils auditifs;071/31.82.83
El Pogona;Boulevard De L'Yser;18;6000.0;Charleroi;Café;;0495/53.36.77
Ô 36;Boulevard De L'Yser;36;6000.0;Charleroi;Café;;0484/90.09.08
Optique Point De Mire;Avenue Des Alliés;2-2;6000.0;Charleroi;Opticien;;071/50.78.00
Robert La Frite;Jacques Bufquin des Essarts;14;6032.0;Mont-sur-Marchienne;Snack;;071/51.55.67
Cluber Sandwicherie;Rue Du Pont De Sambre;8;6000.0;Charleroi;Snack;Sandwicherie;071/79.64.64
Smartech;Rue De La Montagne;47;6000.0;Charleroi;Téléphonie;;
Auto AZ;Chaussée de Bruxelles;50;6042.0;Lodelinsart;Voiture;;071/70 19 04
Axa Assurances;Chaussée de Châtelet;175;6042.0;Lodelinsart;Banque & Assurance;;
Biyik SPRL;Rue Emile Vandervelde;44;6042.0;Lodelinsart;Imprimeur;;0477/31 15 82
Chez Dolorès;Chaussée de Châtelet;264;6042.0;Lodelinsart;Alimentation générale;;071/32 44 94
Chez Greg;Place Edmond Gilles;21;6042.0;Lodelinsart;Alimentation générale;;071/32 91 04
Dallo;Chaussée de Châtelet;2/A;6042.0;Lodelinsart;Alimentation générale;;071/65 56 06
Garage de l'Ouest;Rue Alfred Georges;121;6042.0;Lodelinsart;Voiture;;071/32 42 99
"Garage Toyota ""Castus""";Chaussée de Bruxelles;261;6042.0;Lodelinsart;Voiture;;071/30 30 60
Makro;Chaussée de Bruxelles;294;6042.0;Lodelinsart;Grande surface;;078/15 03 30
Pharmacie Marie Curie;Chaussée de Châtelet;5;6042.0;Lodelinsart;Pharmacie;;071/31 46 99
Rosée Déco;Place Edmond Gilles;24;6042.0;Lodelinsart;Fleuriste;;071/50 68 53
Snack Perle Bleue;Rue Emile Vandervelde;68/A;6042.0;Lodelinsart;Snack;;0489/28 07 51
Soco;Chaussée de Bruxelles;29;6042.0;Lodelinsart;Voiture;;071/32 68 71
Tabac Shop 67;Chaussée de Châtelet;407;6042.0;Lodelinsart;Alimentation générale;;071/41 20 14
Travipierres;Rue Courbe;23;6042.0;Lodelinsart;Maison & Décoration;;071/37 60 11
Istas;Place du Perron;49;6030.0;Marchienne-au-Pont;Funérarium;;
Supermaché Taaj;Route de Mons;47;6030.0;Marchienne-au-Pont;Grande surface;;071 50 56 23
Familit;Route de Mons;61;6030.0;Marchienne-au-Pont;Maison & Décoration;;0472 85 16 84
Mondial Sol Deco;Route de Mons;72;6030.0;Marchienne-au-Pont;Maison & Décoration;;071 31 61 23
Multicadeaux;Rue  Pierre Bauwens;11;6030.0;Marchienne-au-Pont;Solderie;;071 300963
Lloyds Pharma;Rue  Pierre Bauwens;2;6030.0;Marchienne-au-Pont;Pharmacie;;071 31 43 04
Village Kfé;Rue  Pierre Bauwens;59;6030.0;Marchienne-au-Pont;Café;;
Activity Services Plus SPRL;Rue de Beaumont;10A;6030.0;Marchienne-au-Pont;Photographe;;071 51 22 23
Optique Gonze;Rue de Beaumont;155-157;6030.0;Marchienne-au-Pont;Opticien;;071 51 91 21
Manu Wash;Rue de Beaumont;205;6030.0;Marchienne-au-Pont;Voiture;;0494 08 37 00
VP Pneus - Lambrecht;Rue de Beaumont;244;6030.0;Marchienne-au-Pont;Voiture;;071 51 82 57
Le P'tit Bedon;Rue de Beaumont;382;6030.0;Marchienne-au-Pont;Boucherie;;071 51 54 84
Le Cosmopolite;Rue de Beaumont;392;6030.0;Marchienne-au-Pont;Alimentation générale;;071 51 34 23
Coiffure Flavia;Rue de Beaumont;393;6030.0;Marchienne-au-Pont;Coiffeur;;071 51 80 20
Le Ballotin;Rue de Beaumont;43;6030.0;Marchienne-au-Pont;Boulangerie;;071 51 60 16
Agence immobilière Savini;Rue de Beaumont;53;6030.0;Marchienne-au-Pont;Immobilier;;071 53 57 96
Power Snack;Rue de Beaumont;8;6030.0;Marchienne-au-Pont;Snack;;071 51 29 09
Au Moineau Doré;Rue de Châtelet;7;6030.0;Marchienne-au-Pont;Animaux;;0032 (0)71 51 63 87
Garage de l'Espoir;Rue de Jumet;326;6030.0;Marchienne-au-Pont;Voiture;;
Pharda;Rue de la Providence;12;6030.0;Marchienne-au-Pont;Pharmacie;;071 32 13 19
Cashmetal;Rue de la Providence;23;6030.0;Marchienne-au-Pont;Industrie;Achat métal;071 31 61 76
